Date,Time (Asia/Karachi),Post Content,Media URL,Notes,Posted?,DateTimeKey,Email,Website,Title,Fair,Phone,email_is_business,website_ok,title_valid,tier1_passes,tier2_points,score,outreach_category,company_name,description,phone,address,linkedin_url,industry,enrichment_status
2026-04-11,09:00,,,,No,2026-04-11 09:00,,,,,,False,False,False,0,0,0,skip,,,,,,,partial
2026-04-11,19:00,,,,No,2026-04-11 19:00,,,,,,False,False,False,0,0,0,skip,,,,,,,partial
2026-04-12,09:00,,,,No,2026-04-12 09:00,,,,,,False,False,False,0,0,0,skip,,,,,,,partial
2026-04-12,19:00,,,,No,2026-04-12 19:00,,,,,,False,False,False,0,0,0,skip,,,,,,,partial
2026-04-13,09:00,,,,No,2026-04-13 09:00,,,,,,False,False,False,0,0,0,skip,,,,,,,partial
2026-04-13,19:00,,,,No,2026-04-13 19:00,,,,,,False,False,False,0,0,0,skip,,,,,,,partial
2026-04-14,09:00,,,,No,2026-04-14 09:00,,,,,,False,False,False,0,0,0,skip,,,,,,,partial
2026-04-14,19:00,,,,No,2026-04-14 19:00,,,,,,False,False,False,0,0,0,skip,,,,,,,partial
2026-04-15,09:00,,,,No,2026-04-15 09:00,,,,,,False,False,False,0,0,0,skip,,,,,,,partial
2026-04-15,19:00,,,,No,2026-04-15 19:00,,,,,,False,False,False,0,0,0,skip,,,,,,,partial
2026-04-16,09:00,,,,No,2026-04-16 09:00,,,,,,False,False,False,0,0,0,skip,,,,,,,partial
2026-04-16,19:00,,,,No,2026-04-16 19:00,,,,,,False,False,False,0,0,0,skip,,,,,,,partial
2026-04-17,09:00,,,,No,2026-04-17 09:00,,,,,,False,False,False,0,0,0,skip,,,,,,,partial
2026-04-17,19:00,,,,No,2026-04-17 19:00,,,,,,False,False,False,0,0,0,skip,,,,,,,partial
2026-04-18,09:00,,,,No,2026-04-18 09:00,,,,,,False,False,False,0,0,0,skip,,,,,,,partial
2026-04-18,19:00,,,,No,2026-04-18 19:00,,,,,,False,False,False,0,0,0,skip,,,,,,,partial
2026-04-19,09:00,,,,No,2026-04-19 09:00,,,,,,False,False,False,0,0,0,skip,,,,,,,partial
2026-04-19,19:00,,,,No,2026-04-19 19:00,,,,,,False,False,False,0,0,0,skip,,,,,,,partial
2026-04-20,09:00,,,,No,2026-04-20 09:00,,,,,,False,False,False,0,0,0,skip,,,,,,,partial
2026-04-20,19:00,,,,No,2026-04-20 19:00,,,,,,False,False,False,0,0,0,skip,,,,,,,partial
2026-04-21,09:00,,,,No,2026-04-21 09:00,,,,,,False,False,False,0,0,0,skip,,,,,,,partial
2026-04-21,19:00,,,,No,2026-04-21 19:00,,,,,,False,False,False,0,0,0,skip,,,,,,,partial
2026-04-22,09:00,,,,No,2026-04-22 09:00,,,,,,False,False,False,0,0,0,skip,,,,,,,partial
2026-04-22,19:00,,,,No,2026-04-22 19:00,,,,,,False,False,False,0,0,0,skip,,,,,,,partial
2026-04-23,09:00,,,,No,2026-04-23 09:00,,,,,,False,False,False,0,0,0,skip,,,,,,,partial
2026-04-23,19:00,,,,No,2026-04-23 19:00,,,,,,False,False,False,0,0,0,skip,,,,,,,partial
2026-04-24,09:00,,,,No,2026-04-24 09:00,,,,,,False,False,False,0,0,0,skip,,,,,,,partial
2026-04-24,19:00,,,,No,2026-04-24 19:00,,,,,,False,False,False,0,0,0,skip,,,,,,,partial
2026-04-25,09:00,,,,No,2026-04-25 09:00,,,,,,False,False,False,0,0,0,skip,,,,,,,partial
2026-04-25,19:00,,,,No,2026-04-25 19:00,,,,,,False,False,False,0,0,0,skip,,,,,,,partial
2026-04-26,09:00,,,,No,2026-04-26 09:00,,,,,,False,False,False,0,0,0,skip,,,,,,,partial
2026-04-26,19:00,,,,No,2026-04-26 19:00,,,,,,False,False,False,0,0,0,skip,,,,,,,partial
2026-04-27,09:00,,,,No,2026-04-27 09:00,,,,,,False,False,False,0,0,0,skip,,,,,,,partial
2026-04-27,19:00,,,,No,2026-04-27 19:00,,,,,,False,False,False,0,0,0,skip,,,,,,,partial
2026-04-28,09:00,,,,No,2026-04-28 09:00,,,,,,False,False,False,0,0,0,skip,,,,,,,partial
2026-04-28,19:00,,,,No,2026-04-28 19:00,,,,,,False,False,False,0,0,0,skip,,,,,,,partial
2026-04-29,09:00,,,,No,2026-04-29 09:00,,,,,,False,False,False,0,0,0,skip,,,,,,,partial
2026-04-29,19:00,,,,No,2026-04-29 19:00,,,,,,False,False,False,0,0,0,skip,,,,,,,partial
2026-04-30,09:00,,,,No,2026-04-30 09:00,,,,,,False,False,False,0,0,0,skip,,,,,,,partial
2026-04-30,19:00,,,,No,2026-04-30 19:00,,,,,,False,False,False,0,0,0,skip,,,,,,,partial
