Company,Contact,Email,Phone,City,Country,Score,Stage,Source,Tags
"Al Madina General Trading LLC","","","+971-4-1234567","Dubai","UAE",85,"qualified","google-places","beverages; snacks; confectionery; horeca"
"Bright Master General Trading LLC","","","","Dubai","UAE",68,"qualified","apollo","food; beverages; trading; fmcg; wholesale; import-export; logistics; retail"
"ALPONA TEXTILE(UK) LIMITED","","","","","United Kingdom",52,"new","lead-engine","uk; company-registry"
"PK FOODS &amp; BEVERAGES WHOLESALERS LTD","","","","","",45,"","","uk; company-registry"
"DOT TRANSPORT AND LOGISTICS LTD","","","","","",45,"","","uk; company-registry"
"ALEX WHITE RACING (UAE) LTD","","","","","",45,"","","uk; company-registry"
"ALPHA CONSULT UAE LIMITED","","","","","",45,"","","uk; company-registry"
"AMBER PROPERTIES UAE LTD","","","","","",45,"","","uk; company-registry"
"AMES UAE GROUP HOLDINGS LTD","","","","","",45,"","","uk; company-registry"
"AOG ALLIANCE (UAE) LIMITED","","","","","",45,"","","uk; company-registry"
"AT&amp;T GROUP (UAE) LTD","","","","","",45,"","","uk; company-registry"
"A2Z SOLUTIONS UK UAE LTD","","","","","",45,"","","uk; company-registry"
"BRYANT UAE LTD","","","","","",45,"","","uk; company-registry"
"BT UAE LIMITED","","","","","",45,"","","uk; company-registry"
"CAPITAL RADIO UAE LIMITED","","","","","",45,"","","uk; company-registry"
"CARNIVAL ESTATE UAE LTD","","","","","",45,"","","uk; company-registry"
"CMS (UAE) LLP","","","","","",45,"","","uk; company-registry"
"BEVERAGE | English meaning","","","","","",45,"","",""
"Baumüller","","info@baumueller.com","2023-06-20 13","","Germany",45,"new","lead-finder",""
"HubSpot","","customer-agent-en@2x.png","0.4705882353","","United States",45,"new","lead-finder",""
"Citect","","","","","",40,"","",""
"Balluff","","","","","",40,"","",""
"Invensys","","","","","",40,"","",""
"ABB Stotz-Kontakt","","","","","",40,"","",""
"Zolmi","","","","","",40,"","",""
"IDEC Corporation","","","","","",40,"","",""
"KEBA","","","","","",40,"","",""
"Fastems Oy Ab","","","","","",40,"","",""
"Rework Digital","","","","","",40,"","",""
"Salesforce","","","","","",40,"","",""
"Aventi Technology","","","","","",40,"","",""
"Universal Robotics","","","1.42857143","","",40,"new","lead-finder",""
"Mantequerías Arias - Groupe Savencia","","","+34 914 17 47 40","Madrid","Spain",26,"meeting_scheduled","apollo","food; beverages; fmcg; wholesale; import-export; logistics; food production"
"Al Jawad Premium - Foody Food","","","+123","Riyadh","Saudi Arabia",26,"prospect","apollo","food; beverages; fmcg; wholesale; food & beverages"
"HARVICS GLOBAL VENTURES","","sales.uk@harvics.com","6189175.","","",25,"prospect","apollo","food; beverages; fmcg; import-export; logistics; food & beverages"
"Amazon","","","+1 206-266-1000","Seattle","United States",21,"prospect","apollo","logistics; information technology & services"
"Freelance","Franck Stora","","","Alcobendas","",20,"prospect","linkedin","linkedin"
"Systech Corporation","","","","","United States",13,"prospect","lead-engine",""
"BUDEX","","","","","",0,"","",""
"Networked Robotics Corporation","","","","","",0,"","",""
"The Economy Herald","","","","","",0,"","",""
"KUKA","","","","","",0,"","",""
"Robotnik Automation","","","","","",0,"","",""
"MAVERICK Technologies","","","","","",0,"","",""
"Somiibo","","","","","",0,"","",""
"Netcall","","","","","",0,"","",""
"Comau","","","","","",0,"","",""
"fooddrinkeurope.eu","","","","","",0,"","","rss; fmcg; trade-news"
